Model,Threshold,Accuracy,Precision,Recall,F1,Specificity
Decision Tree,0.3,0.7839374555792467,0.6589861751152072,0.38337801608579086,0.4847457627118643,0.9284332688588007
Gradient Boosting,0.3,0.7484008528784648,0.5178236397748592,0.739946380697051,0.609271523178808,0.7514506769825918
Logistic Regression,0.3,0.7484008528784648,0.5174311926605505,0.7560321715817694,0.6143790849673202,0.7456479690522244
Random Forest,0.3,0.783226723525231,0.5894736842105261,0.6005361930294906,0.5949535192563079,0.8491295938104448
